"cname","wdi_mortinftot","epi_watsup","wdi_accelectr"
"South Africa",36.7999992370605,46.0099983215332,85.4000015258789
"Zimbabwe",49.4000015258789,26.9899997711182,40.4625587463379
"Spain",3.70000004768372,98.9100036621094,100
"Suriname",20.7999992370606,47.0800018310547,100
"Swaziland",51.5,19.4500007629394,42
"Sweden",2.40000009536743,100,100
"Switzerland",3.70000004768372,100,100
"Syria",12.6000003814697,42.310001373291,96.2625579833984
"Tajikistan",42.0999984741211,14.6899995803833,100
"Thailand",11.6000003814697,60.5499992370605,100
"Togo",56.5,10.3699998855591,31.4625606536865
"Tonga",15,86.4599990844727,95.8625564575195
"Trinidad and Tobago",19.7000007629394,53.0900001525879,99.8277969360352
"United Arab Emirates",6.69999980926514,92.6999969482422,97.6978302001953
"Tunisia",13.6000003814697,63.2900009155273,100
"Turkey",14.1999998092651,94.4400024414062,100
"Turkmenistan",47.5999984741211,18.4200000762939,100
"Uganda",42.5,21.6900005340576,18.1625595092773
"Ukraine",9.10000038146973,73.3099975585938,100
"Macedonia",6.5,91.8199996948242,100
"Egypt",22.6000003814697,87.4899978637695,100
"United Kingdom",4.09999990463257,100,100
"Tanzania",38.7999992370605,7.3600001335144,15.3000001907349
"United States",6.09999990463257,80.6800003051758,100
"Burkina Faso",65.4000015258789,26.9799995422363,13.1000003814697
"Uruguay",10,95.8399963378906,99.5
"Uzbekistan",37.2000007629395,37.1800003051758,100
"Venezuela",13.8000001907349,49.8699989318848,100
"Samoa",15.8000001907349,74.3300018310547,100
"Yemen",38.4000015258789,8.07999992370605,48.4067115783691
"Zambia",49,13.5200004577637,22.0625591278076
